constructorResultsId,raceId,constructorId,points,status
16881,1120,6,18,\N
16880,1120,9,38,\N
15820,1007,9,25,\N
16883,1120,1,18,\N
16882,1120,131,17,\N
15821,1007,6,33,\N
15640,989,6,40,\N
15641,989,131,22,\N
15642,989,9,20,\N
15643,989,1,12,\N
15644,989,4,7,\N
15645,989,10,0,\N
15646,989,15,0,\N
15647,989,3,0,\N
15648,989,5,0,\N
15649,989,210,0,\N
15650,990,6,25,\N
15651,990,131,33,\N
15652,990,5,12,\N
15653,990,210,10,\N
15654,990,4,8,\N
15655,990,1,10,\N
15656,990,15,2,\N
15657,990,10,1,\N
15658,990,3,0,\N
15659,990,9,0,\N
15660,991,9,35,\N
15661,991,131,30,\N
15662,991,6,19,\N
15663,991,4,10,\N
15664,991,1,6,\N
15665,991,210,1,\N
15666,991,10,0,\N
15667,991,3,0,\N
15668,991,15,0,\N
15669,991,5,0,\N
15670,992,131,25,\N
15671,992,6,30,\N
15672,992,10,15,\N
15673,992,4,10,\N
15674,992,15,8,\N
15675,992,1,8,\N
15676,992,3,4,\N
15677,992,5,1,\N
15678,992,210,0,\N
15679,992,9,0,\N
15680,993,131,43,\N
15681,993,9,25,\N
15682,993,6,12,\N
15683,993,210,8,\N
15684,993,4,6,\N
15685,993,1,4,\N
15686,993,10,2,\N
15687,993,15,1,\N
15688,993,3,0,\N
15689,993,5,0,\N
15690,994,9,27,\N
15691,994,6,30,\N
15692,994,131,25,\N
15693,994,10,8,\N
15694,994,5,6,\N
15695,994,4,5,\N
15696,994,15,0,\N
15697,994,210,0,\N
15698,994,1,0,\N
15699,994,3,0,\N
15700,995,6,33,\N
15701,995,131,28,\N
15702,995,9,27,\N
15703,995,4,10,\N
15704,995,10,2,\N
15705,995,15,1,\N
15706,995,5,0,\N
15707,995,210,0,\N
15708,995,1,0,\N
15709,995,3,0,\N
15710,996,131,31,\N
15711,996,9,30,\N
15712,996,6,25,\N
15713,996,210,8,\N
15714,996,4,6,\N
15715,996,15,1,\N
15716,996,1,0,\N
15717,996,5,0,\N
15718,996,3,0,\N
15719,996,10,0,\N
15720,997,9,25,\N
15721,997,6,33,\N
15722,997,210,22,\N
15723,997,10,14,\N
15724,997,1,4,\N
15725,997,15,3,\N
15726,997,5,0,\N
15727,997,4,0,\N
15728,997,3,0,\N
