driverStandingsId,raceId,driverId,points,position,positionText,wins
68609,989,20,25,1,1,1
68610,989,1,18,2,2,0
68611,989,8,15,3,3,0
68612,989,817,12,4,4,0
68613,989,4,10,5,5,0
68614,989,830,8,6,6,0
68615,989,807,6,7,7,0
68616,989,822,4,8,8,0
68617,989,838,2,9,9,0
68618,989,832,1,10,10,0
68619,989,815,0,11,11,0
68620,989,839,0,12,12,0
68621,989,844,0,13,13,0
68622,989,840,0,14,14,0
68623,989,843,0,15,15,0
68624,989,154,0,16,16,0
68625,989,825,0,17,17,0
68626,989,842,0,18,18,0
68627,989,828,0,19,19,0
68628,989,845,0,20,20,0
68708,990,845,0,20,20,0
68693,990,4,16,4,4,0
68694,990,830,8,10,10,0
68705,990,825,10,9,9,0
68701,990,844,0,16,16,0
68709,992,20,66,2,2,2
68707,990,828,2,12,12,0
68706,990,842,12,7,7,0
68691,990,8,15,5,5,0
68704,990,154,0,17,17,0
68702,990,840,0,18,18,0
68703,990,843,0,19,19,0
68700,990,839,1,14,14,0
68699,990,815,0,15,15,0
68698,990,832,1,13,13,0
68697,990,838,6,11,11,0
68696,990,822,22,3,3,0
68695,990,807,14,6,6,0
68692,990,817,12,8,8,0
68689,990,20,50,1,1,2
68690,990,1,33,2,2,0
68669,991,20,54,1,1,2
68670,991,1,45,2,2,0
68671,991,8,30,5,5,0
68672,991,817,37,4,4,1
68673,991,4,22,6,6,0
68674,991,830,18,8,8,0
68675,991,807,22,7,7,0
68676,991,822,40,3,3,0
68677,991,838,6,11,11,0
68678,991,832,3,12,12,0
68679,991,815,0,15,15,0
68680,991,839,1,14,14,0
68681,991,844,0,16,16,0
68682,991,840,0,18,18,0
68683,991,843,0,20,20,0
68684,991,154,0,17,17,0
68685,991,825,11,10,10,0
68686,991,842,12,9,9,0
68687,991,828,2,13,13,0
68688,991,845,0,19,19,0
68710,992,1,70,1,1,1
68711,992,8,48,3,3,0
68712,992,817,37,5,5,1
68713,992,4,28,6,6,0
68714,992,830,18,8,8,0
68715,992,807,22,7,7,0
68716,992,822,40,4,4,0
68717,992,838,8,14,14,0
68718,992,832,13,10,10,0
68719,992,815,15,9,9,0
68720,992,839,1,17,17,0
68721,992,844,8,13,13,0
68722,992,840,4,15,15,0
68723,992,843,1,18,18,0
68724,992,154,0,19,19,0
68725,992,825,11,12,12,0
68726,992,842,12,11,11,0
68727,992,828,2,16,16,0
68728,992,845,0,20,20,0
68729,993,20,78,2,2,2
68730,993,1,95,1,1,2
68731,993,8,48,4,4,0
68732,993,817,47,5,5,1
68733,993,4,32,7,7,0
68734,993,830,33,6,6,0
68735,993,807,22,8,8,0
68736,993,822,58,3,3,0
68737,993,838,8,14,14,0
68738,993,832,19,10,10,0
68739,993,815,17,11,11,0
68740,993,839,1,17,17,0
68741,993,844,9,13,13,0
68742,993,840,4,15,15,0
68743,993,843,1,18,18,0
68744,993,154,0,19,19,0
68745,993,825,19,9,9,0
68746,993,842,12,12,12,0
68747,993,828,2,16,16,0
68748,993,845,0,20,20,0
68749,994,20,96,2,2,2
68750,994,1,110,1,1,2
68751,994,8,60,5,5,0
68752,994,817,72,3,3,2
68753,994,4,32,7,7,0
68754,994,830,35,6,6,0
68755,994,807,26,8,8,0
68756,994,822,68,4,4,0
68757,994,838,8,15,15,0
68758,994,832,20,9,9,0
68759,994,815,17,12,12,0
68760,994,839,9,13,13,0
68761,994,844,9,14,14,0
68762,994,840,4,16,16,0
68763,994,843,1,18,18,0
68764,994,154,0,19,19,0
68765,994,825,19,10,10,0
68766,994,842,18,11,11,0
68767,994,828,2,17,17,0
68768,994,845,0,20,20,0
68769,995,20,121,1,1,3
68770,995,1,120,2,2,2
68771,995,8,68,5,5,0
68772,995,817,84,4,4,2
68773,995,4,32,7,7,0
68774,995,830,50,6,6,0
68775,995,807,32,8,8,0
68776,995,822,86,3,3,0
68777,995,838,8,15,15,0
68778,995,832,24,9,9,0
68779,995,815,17,12,12,0
68780,995,839,11,13,13,0
68781,995,844,10,14,14,0
68782,995,840,4,16,16,0
68783,995,843,1,18,18,0
68784,995,154,0,19,19,0
68785,995,825,19,10,10,0
68786,995,842,18,11,11,0
68787,995,828,2,17,17,0
68788,995,845,0,20,20,0
68789,996,20,131,2,2,3
68790,996,1,145,1,1,3
68791,996,8,83,5,5,0
68792,996,817,96,3,3,2
68793,996,4,32,8,8,0
68794,996,830,68,6,6,0
68795,996,807,34,7,7,0
68796,996,822,92,4,4,0
68797,996,838,8,15,15,0
68798,996,832,28,9,9,0
68799,996,815,17,12,12,0
68800,996,839,11,13,13,0
68801,996,844,11,14,14,0
68802,996,840,4,16,16,0
68803,996,843,1,18,18,0
68804,996,154,0,19,19,0
68805,996,825,27,10,10,0
68806,996,842,18,11,11,0
68807,996,828,2,17,17,0
68808,996,845,0,20,20,0
68809,997,20,146,1,1,3
68810,997,1,145,2,2,3
68811,997,8,101,3,3,0
68812,997,817,96,4,4,2
68813,997,4,36,8,8,0
68814,997,830,93,5,5,1
68815,997,807,34,9,9,0
68816,997,822,92,6,6,0
68817,997,838,8,16,16,0
68818,997,832,28,10,10,0
68819,997,815,23,11,11,0
68820,997,839,19,12,12,0
68821,997,844,13,14,14,0
68822,997,840,4,17,17,0
68823,997,843,1,19,19,0
68824,997,154,12,15,15,0
68825,997,825,37,7,7,0
68826,997,842,18,13,13,0
68827,997,828,3,18,18,0
68828,997,845,0,20,20,0
68829,998,20,171,1,1,4
68830,998,1,163,2,2,3
68831,998,8,116,3,3,0
68832,998,817,106,4,4,2
68833,998,4,40,8,8,0
68834,998,830,93,6,6,1
68835,998,807,42,7,7,0
68836,998,822,104,5,5,0
68837,998,838,8,16,16,0
68838,998,832,28,10,10,0
68839,998,815,24,12,12,0
68840,998,839,25,11,11,0
68841,998,844,13,14,14,0
68842,998,840,4,17,17,0
68843,998,843,1,19,19,0
68844,998,154,12,15,15,0
68845,998,825,39,9,9,0
68846,998,842,18,13,13,0
68847,998,828,3,18,18,0
68848,998,845,0,20,20,0
