qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
7540,989,1,131,44,1,1:22.824,1:22.051,1:21.164
7541,989,8,6,7,2,1:23.096,1:22.507,1:21.828
7542,989,20,6,5,3,1:23.348,1:21.944,1:21.838
7543,989,830,9,33,4,1:23.483,1:22.416,1:21.879
7544,989,817,9,3,5,1:23.494,1:22.897,1:22.152
7545,989,825,210,20,6,1:23.909,1:23.300,1:23.187
7546,989,154,210,8,7,1:23.671,1:23.468,1:23.339
7547,989,807,4,27,8,1:23.782,1:23.544,1:23.532
7548,989,832,4,55,9,1:23.529,1:23.061,1:23.577
7549,989,822,131,77,10,1:23.686,1:22.089,\N
7550,989,4,1,14,11,1:23.597,1:23.692,\N
7551,989,838,1,2,12,1:24.073,1:23.853,\N
7552,989,815,10,11,13,1:24.344,1:24.005,\N
7553,989,840,3,18,14,1:24.464,1:24.230,\N
7554,989,839,10,31,15,1:24.503,1:24.786,\N
7555,989,843,5,28,16,1:24.532,\N,\N
7556,989,828,15,9,17,1:24.556,\N,\N
7557,989,844,15,16,18,1:24.636,\N,\N
7558,989,845,3,35,19,1:24.922,\N,\N
7559,989,842,5,10,20,1:25.295,\N,\N
7560,990,20,6,5,1,1:29.060,1:28.341,1:27.958
7561,990,8,6,7,2,1:28.951,1:28.515,1:28.101
7562,990,822,131,77,3,1:29.275,1:28.794,1:28.124
7563,990,1,131,44,4,1:29.396,1:28.458,1:28.220
7564,990,817,9,3,5,1:29.552,1:28.962,1:28.398
7565,990,842,5,10,6,1:30.121,1:29.836,1:29.329
7566,990,825,210,20,7,1:29.594,1:29.623,1:29.358
7567,990,807,4,27,8,1:30.260,1:29.187,1:29.570
7568,990,839,10,31,9,1:30.338,1:30.009,1:29.874
7569,990,832,4,55,10,1:29.893,1:29.802,1:29.986
7570,990,843,5,28,11,1:30.412,1:30.105,\N
7571,990,815,10,11,12,1:30.218,1:30.156,\N
7572,990,4,1,14,13,1:30.530,1:30.212,\N
7573,990,838,1,2,14,1:30.479,1:30.525,\N
7574,990,830,9,33,15,1:29.374,\N,\N
7575,990,154,210,8,16,1:30.530,\N,\N
7576,990,828,15,9,17,1:31.063,\N,\N
7577,990,845,3,35,18,1:31.414,\N,\N
7578,990,844,15,16,19,1:31.420,\N,\N
7579,990,840,3,18,20,1:31.503,\N,\N
7580,991,20,6,5,1,1:32.171,1:32.385,1:31.095
7581,991,8,6,7,2,1:32.474,1:32.286,1:31.182
7582,991,822,131,77,3,1:32.921,1:32.063,1:31.625
7583,991,1,131,44,4,1:33.283,1:31.914,1:31.675
7584,991,830,9,33,5,1:32.932,1:32.809,1:31.796
7585,991,817,9,3,6,1:33.877,1:32.688,1:31.948
7586,991,807,4,27,7,1:33.545,1:32.494,1:32.532
7587,991,815,10,11,8,1:33.464,1:32.931,1:32.758
7588,991,832,4,55,9,1:33.315,1:32.970,1:32.819
7589,991,154,210,8,10,1:33.238,1:32.524,1:32.855
7590,991,825,210,20,11,1:33.359,1:32.986,\N
7591,991,839,10,31,12,1:33.585,1:33.057,\N
7592,991,4,1,14,13,1:33.428,1:33.232,\N
7593,991,838,1,2,14,1:33.824,1:33.505,\N
7594,991,843,5,28,15,1:34.013,1:33.795,\N
7595,991,845,3,35,16,1:34.062,\N,\N
7596,991,842,5,10,17,1:34.101,\N,\N
7597,991,840,3,18,18,1:34.285,\N,\N
7598,991,844,15,16,19,1:34.454,\N,\N
7599,991,828,15,9,20,1:34.914,\N,\N
7600,992,20,6,5,1,1:42.762,1:43.015,1:41.498
7601,992,1,131,44,2,1:42.693,1:42.676,1:41.677
7602,992,822,131,77,3,1:43.355,1:42.679,1:41.837
7603,992,817,9,3,4,1:42.857,1:43.482,1:41.911
7604,992,830,9,33,5,1:42.642,1:42.901,1:41.994
7605,992,8,6,7,6,1:42.538,1:42.510,1:42.490
7606,992,839,10,31,7,1:43.021,1:42.967,1:42.523
7607,992,815,10,11,8,1:43.992,1:43.366,1:42.547
7608,992,807,4,27,9,1:43.746,1:43.232,1:43.066
7609,992,832,4,55,10,1:43.426,1:43.464,1:43.351
7610,992,840,3,18,11,1:44.359,1:43.585,\N
7611,992,845,3,35,12,1:44.261,1:43.886,\N
7612,992,4,1,14,13,1:44.010,1:44.019,\N
7613,992,844,15,16,14,1:43.752,1:44.074,\N
7614,992,825,210,20,15,1:43.674,1:44.759,\N
7615,992,838,1,2,16,1:44.489,\N,\N
7616,992,842,5,10,17,1:44.496,\N,\N
7617,992,828,15,9,18,1:45.541,\N,\N
7618,992,843,5,28,19,1:57.354,\N,\N
7619,992,154,210,8,20,\N,\N,\N
7620,993,1,131,44,1,1:17.633,1:17.166,1:16.173
7621,993,822,131,77,2,1:17.674,1:17.111,1:16.213
7622,993,20,6,5,3,1:17.031,1:16.802,1:16.305
7623,993,8,6,7,4,1:17.483,1:17.071,1:16.612
7624,993,830,9,33,5,1:17.411,1:17.266,1:16.816
7625,993,817,9,3,6,1:17.623,1:17.638,1:16.818
7626,993,825,210,20,7,1:18.169,1:17.618,1:17.676
7627,993,4,1,14,8,1:18.276,1:18.100,1:17.721
7628,993,832,4,55,9,1:18.480,1:17.803,1:17.790
7629,993,154,210,8,10,1:18.305,1:17.699,1:17.835
7630,993,838,1,2,11,1:18.885,1:18.323,\N
7631,993,842,5,10,12,1:18.550,1:18.463,\N
7632,993,839,10,31,13,1:18.813,1:18.696,\N
7633,993,844,15,16,14,1:18.661,1:18.910,\N
7634,993,815,10,11,15,1:18.740,1:19.098,\N
7635,993,807,4,27,16,1:18.923,\N,\N
7636,993,828,15,9,17,1:19.493,\N,\N
7637,993,845,3,35,18,1:19.695,\N,\N
7638,993,840,3,18,19,1:20.225,\N,\N
7639,993,843,5,28,20,\N,\N,\N
7640,994,817,9,3,1,1:12.013,1:11.278,1:10.810
7641,994,20,6,5,2,1:12.415,1:11.518,1:11.039
7642,994,1,131,44,3,1:12.460,1:11.584,1:11.232
7643,994,8,6,7,4,1:12.639,1:11.391,1:11.266
7644,994,4,1,14,7,1:12.657,1:12.269,1:12.110
7645,994,832,4,55,8,1:12.950,1:12.286,1:12.130
7646,994,815,10,11,9,1:12.848,1:12.194,1:12.154
7647,994,842,5,10,10,1:12.941,1:12.313,1:12.221
7648,994,838,1,2,12,1:12.463,1:12.440,\N
7649,994,845,3,35,13,1:12.706,1:12.521,\N
7650,994,844,15,16,14,1:12.829,1:12.714,\N
7651,994,154,210,8,15,1:12.930,1:12.728,\N
7652,994,843,5,28,16,1:13.179,\N,\N
7653,994,828,15,9,17,1:13.265,\N,\N
7654,994,840,3,18,18,1:13.323,\N,\N
7655,994,825,210,20,19,1:13.393,\N,\N
7656,994,830,9,33,20,\N,\N,\N
7657,994,822,131,77,5,1:12.434,1:12.002,1:11.441
7658,994,839,10,31,6,1:13.028,1:12.188,1:12.061
7659,994,807,4,27,11,1:13.065,1:12.411,\N
7660,995,20,6,5,1,1:11.710,1:11.524,1:10.764
7661,995,822,131,77,2,1:11.950,1:11.514,1:10.857
7662,995,830,9,33,3,1:12.008,1:11.472,1:10.937
7663,995,1,131,44,4,1:11.835,1:11.740,1:10.996
7664,995,8,6,7,5,1:11.725,1:11.620,1:11.095
7665,995,817,9,3,6,1:12.459,1:11.434,1:11.116
7666,995,807,4,27,7,1:12.795,1:11.916,1:11.973
7667,995,839,10,31,8,1:12.577,1:12.141,1:12.084
7668,995,832,4,55,9,1:12.689,1:12.097,1:12.168
7669,995,815,10,11,10,1:12.702,1:12.395,1:12.671
7670,995,843,5,28,12,1:12.587,1:12.635,\N
7671,995,4,1,14,14,1:12.979,1:12.856,\N
7672,995,838,1,2,15,1:12.998,1:12.865,\N
7673,995,842,5,10,16,1:13.047,\N,\N
7674,995,840,3,18,17,1:13.590,\N,\N
7675,995,845,3,35,18,1:13.643,\N,\N
7676,995,828,15,9,19,1:14.593,\N,\N
7677,995,154,210,8,20,\N,\N,\N
7678,995,825,210,20,11,1:12.680,1:12.606,\N
7679,995,844,15,16,13,1:12.945,1:12.661,\N
7680,996,1,131,44,1,1:31.271,1:30.645,1:30.029
7681,996,822,131,77,2,1:31.776,1:31.227,1:30.147
7682,996,20,6,5,3,1:31.820,1:30.751,1:30.400
7683,996,830,9,33,4,1:31.531,1:30.818,1:30.705
7684,996,817,9,3,5,1:31.910,1:31.538,1:30.895
7685,996,8,6,7,6,1:31.567,1:30.772,1:31.057
7686,996,832,4,55,7,1:32.394,1:32.016,1:32.126
7687,996,844,15,16,8,1:32.538,1:32.055,1:32.635
7688,996,825,210,20,9,1:32.169,1:31.510,1:32.930
7689,996,154,210,8,10,1:32.083,1:31.472,\N
7690,996,839,10,31,11,1:32.786,1:32.075,\N
7691,996,807,4,27,12,1:32.949,1:32.115,\N
7692,996,815,10,11,13,1:32.692,1:32.454,\N
7693,996,842,5,10,14,1:32.447,1:32.460,\N
7694,996,828,15,9,15,1:32.804,1:32.820,\N
7695,996,4,1,14,16,1:32.976,\N,\N
7696,996,843,5,28,17,1:33.025,\N,\N
7697,996,838,1,2,18,1:33.162,\N,\N
7698,996,845,3,35,19,1:33.636,\N,\N
7699,996,840,3,18,20,1:33.729,\N,\N
7700,997,822,131,77,1,1:04.175,1:03.756,1:03.130
7701,997,1,131,44,2,1:04.080,1:03.577,1:03.149
7702,997,20,6,5,3,1:04.347,1:03.544,1:03.464
7703,997,8,6,7,4,1:04.234,1:03.975,1:03.660
7704,997,830,9,33,5,1:04.273,1:04.001,1:03.840
7705,997,154,210,8,6,1:04.242,1:04.059,1:03.892
7706,997,817,9,3,7,1:04.723,1:04.403,1:03.996
7707,997,825,210,20,8,1:04.460,1:04.291,1:04.051
7708,997,832,4,55,9,1:04.948,1:04.561,1:04.725
7709,997,807,4,27,10,1:04.864,1:04.676,1:05.019
7710,997,839,10,31,11,1:05.148,1:04.845,\N
7711,997,842,5,10,12,1:05.011,1:04.874,\N
7712,997,844,15,16,13,1:04.967,1:04.979,\N
7713,997,4,1,14,14,1:04.965,1:05.058,\N
7714,997,840,3,18,15,1:05.264,1:05.286,\N
7715,997,838,1,2,16,1:05.271,\N,\N
7716,997,815,10,11,17,1:05.279,\N,\N
7717,997,845,3,35,18,1:05.322,\N,\N
7718,997,843,5,28,19,1:05.366,\N,\N
7719,997,828,15,9,20,1:05.479,\N,\N
7720,998,1,131,44,1,1:26.818,1:26.256,1:25.892
7721,998,20,6,5,2,1:26.585,1:26.372,1:25.936
7722,998,8,6,7,3,1:27.549,1:26.483,1:25.990
7723,998,822,131,77,4,1:27.025,1:26.413,1:26.217
7724,998,830,9,33,5,1:27.309,1:27.013,1:26.602
7725,998,817,9,3,6,1:27.979,1:27.369,1:27.099
7726,998,825,210,20,7,1:28.143,1:27.730,1:27.244
7727,998,154,210,8,8,1:28.086,1:27.522,1:27.455
7728,998,844,15,16,9,1:27.962,1:27.790,1:27.879
7729,998,839,10,31,10,1:28.279,1:27.843,1:28.194
7730,998,807,4,27,11,1:28.017,1:27.901,\N
7731,998,815,10,11,12,1:28.210,1:27.928,\N
7732,998,4,1,14,13,1:28.187,1:28.139,\N
7733,998,842,5,10,14,1:28.399,1:28.343,\N
7734,998,828,15,9,15,1:28.249,1:28.391,\N
7735,998,832,4,55,16,1:28.456,\N,\N
7736,998,838,1,2,17,1:29.096,\N,\N
7737,998,845,3,35,18,1:29.252,\N,\N
7738,998,840,3,18,19,\N,\N,\N
7739,998,843,5,28,20,\N,\N,\N
7740,999,20,6,5,1,1:12.538,1:12.505,1:11.212
7741,999,822,131,77,2,1:12.962,1:12.152,1:11.416
7742,999,8,6,7,3,1:12.505,1:12.336,1:11.547
7743,999,830,9,33,4,1:13.127,1:12.188,1:11.822
7744,999,825,210,20,5,1:13.105,1:12.523,1:12.200
