raceId,year,round,circuitId,date,time,name
989,2018,1,1,2018-03-25,05:10:00,Australian Grand Prix
990,2018,2,3,2018-04-08,15:10:00,Bahrain Grand Prix
991,2018,3,17,2018-04-15,06:10:00,Chinese Grand Prix
992,2018,4,73,2018-04-29,12:10:00,Azerbaijan Grand Prix
993,2018,5,4,2018-05-13,13:10:00,Spanish Grand Prix
994,2018,6,6,2018-05-27,13:10:00,Monaco Grand Prix
995,2018,7,7,2018-06-10,18:10:00,Canadian Grand Prix
996,2018,8,34,2018-06-24,14:10:00,French Grand Prix
997,2018,9,70,2018-07-01,13:10:00,Austrian Grand Prix
998,2018,10,9,2018-07-08,13:10:00,British Grand Prix
999,2018,11,10,2018-07-22,13:10:00,German Grand Prix
1000,2018,12,11,2018-07-29,13:10:00,Hungarian Grand Prix
1001,2018,13,13,2018-08-26,13:10:00,Belgian Grand Prix
1002,2018,14,14,2018-09-02,13:10:00,Italian Grand Prix
1003,2018,15,15,2018-09-16,12:10:00,Singapore Grand Prix
1004,2018,16,71,2018-09-30,11:10:00,Russian Grand Prix
1005,2018,17,22,2018-10-07,05:10:00,Japanese Grand Prix
1006,2018,18,69,2018-10-21,18:10:00,United States Grand Prix
1007,2018,19,32,2018-10-28,19:10:00,Mexican Grand Prix
1008,2018,20,18,2018-11-11,17:10:00,Brazilian Grand Prix
1009,2018,21,24,2018-11-25,13:10:00,Abu Dhabi Grand Prix
1010,2019,1,1,2019-03-17,05:10:00,Australian Grand Prix
1011,2019,2,3,2019-03-31,15:10:00,Bahrain Grand Prix
1012,2019,3,17,2019-04-14,06:10:00,Chinese Grand Prix
1013,2019,4,73,2019-04-28,12:10:00,Azerbaijan Grand Prix
1014,2019,5,4,2019-05-12,13:10:00,Spanish Grand Prix
1015,2019,6,6,2019-05-26,13:10:00,Monaco Grand Prix
1016,2019,7,7,2019-06-09,18:10:00,Canadian Grand Prix
1017,2019,8,34,2019-06-23,13:10:00,French Grand Prix
1018,2019,9,70,2019-06-30,13:10:00,Austrian Grand Prix
1019,2019,10,9,2019-07-14,13:10:00,British Grand Prix
1020,2019,11,10,2019-07-28,13:10:00,German Grand Prix
1021,2019,12,11,2019-08-04,13:10:00,Hungarian Grand Prix
1022,2019,13,13,2019-09-01,13:10:00,Belgian Grand Prix
1023,2019,14,14,2019-09-08,13:10:00,Italian Grand Prix
1024,2019,15,15,2019-09-22,12:10:00,Singapore Grand Prix
1025,2019,16,71,2019-09-29,11:10:00,Russian Grand Prix
1026,2019,17,22,2019-10-13,05:10:00,Japanese Grand Prix
1027,2019,18,32,2019-10-27,19:10:00,Mexican Grand Prix
1028,2019,19,69,2019-11-03,19:10:00,United States Grand Prix
1029,2019,20,18,2019-11-17,17:10:00,Brazilian Grand Prix
1030,2019,21,24,2019-12-01,13:10:00,Abu Dhabi Grand Prix
1031,2020,1,70,2020-07-05,13:10:00,Austrian Grand Prix
1032,2020,2,70,2020-07-12,13:10:00,Styrian Grand Prix
1033,2020,3,11,2020-07-19,13:10:00,Hungarian Grand Prix
1034,2020,4,9,2020-08-02,13:10:00,British Grand Prix
1035,2020,5,9,2020-08-09,13:10:00,70th Anniversary Grand Prix
1036,2020,6,4,2020-08-16,13:10:00,Spanish Grand Prix
1037,2020,7,13,2020-08-30,13:10:00,Belgian Grand Prix
1038,2020,8,14,2020-09-06,13:10:00,Italian Grand Prix
1039,2020,9,76,2020-09-13,13:10:00,Tuscan Grand Prix
1040,2020,10,71,2020-09-27,11:10:00,Russian Grand Prix
1041,2020,11,20,2020-10-11,13:10:00,Eifel Grand Prix
1042,2020,12,75,2020-10-25,12:10:00,Portuguese Grand Prix
1043,2020,13,21,2020-11-01,12:10:00,Emilia Romagna Grand Prix
1044,2020,14,5,2020-11-15,10:10:00,Turkish Grand Prix
1045,2020,15,3,2020-11-29,14:10:00,Bahrain Grand Prix
1046,2020,16,3,2020-12-06,17:10:00,Sakhir Grand Prix
1047,2020,17,24,2020-12-13,13:10:00,Abu Dhabi Grand Prix
