resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
23782,989,20,6,5,3,1,1,1,25,58,1:29:33.283,5373283,53,4,1:26.469,220.782,1
23783,989,1,131,44,1,2,2,2,18,58,+5.036,5378319,50,3,1:26.444,220.845,1
23784,989,8,6,7,2,3,3,3,15,58,+6.309,5379592,57,2,1:26.373,221.027,1
23785,989,817,9,3,8,4,4,4,12,58,+7.069,5380352,54,1,1:25.945,222.128,1
23786,989,4,1,14,10,5,5,5,10,58,+27.886,5401169,57,7,1:26.978,219.489,1
23787,989,830,9,33,4,6,6,6,8,58,+28.945,5402228,54,5,1:26.880,219.737,1
23788,989,807,4,27,7,7,7,7,6,58,+32.671,5405954,57,9,1:27.081,219.230,1
23789,989,822,131,77,15,8,8,8,4,58,+34.339,5407622,54,8,1:27.019,219.386,1
23790,989,838,1,2,11,9,9,9,2,58,+34.921,5408204,57,6,1:26.958,219.540,1
23791,989,832,4,55,9,10,10,10,1,58,+45.722,5419005,51,12,1:27.944,217.079,1
23792,989,815,10,11,12,11,11,11,0,58,+46.817,5420100,51,11,1:27.633,217.849,1
23793,989,839,10,31,14,12,12,12,0,58,+1:00.278,5433561,57,10,1:27.600,217.931,1
23794,989,844,15,16,18,13,13,13,0,58,+1:15.759,5449042,56,15,1:28.759,215.085,1
23795,989,840,3,18,13,14,14,14,0,58,+1:18.288,5451571,55,14,1:28.511,215.688,1
23796,989,843,5,28,16,15,15,15,0,57,\N,\N,57,13,1:28.176,216.507,11
23797,989,154,210,8,6,\N,R,16,0,24,\N,\N,23,16,1:28.805,214.974,36
23798,989,825,210,20,5,\N,R,17,0,22,\N,\N,21,17,1:29.534,213.224,36
23799,989,842,5,10,20,\N,R,18,0,13,\N,\N,13,18,1:30.649,210.601,5
23800,989,828,15,9,17,\N,R,19,0,5,\N,\N,4,19,1:32.210,207.036,38
23801,989,845,3,35,19,\N,R,20,0,4,\N,\N,3,20,1:32.573,206.224,23
23802,990,20,6,5,1,1,1,1,25,57,1:32:01.940,5521940,21,7,1:34.453,206.274,1
23803,990,822,131,77,3,2,2,2,18,57,+0.699,5522639,22,1,1:33.740,207.842,1
23804,990,1,131,44,9,3,3,3,15,57,+6.512,5528452,51,2,1:33.953,207.371,1
23805,990,842,5,10,5,4,4,4,12,57,+1:02.234,5584174,46,11,1:34.863,205.382,1
23806,990,825,210,20,6,5,5,5,10,57,+1:15.046,5596986,29,5,1:34.327,206.549,1
23807,990,807,4,27,7,6,6,6,8,57,+1:39.024,5620964,50,9,1:34.667,205.807,1
23808,990,4,1,14,13,7,7,7,6,56,\N,\N,47,4,1:34.168,206.898,11
23809,990,838,1,2,14,8,8,8,4,56,\N,\N,30,16,1:35.131,204.803,11
23810,990,828,15,9,17,9,9,9,2,56,\N,\N,26,15,1:35.093,204.885,11
23811,990,839,10,31,8,10,10,10,1,56,\N,\N,38,12,1:35.043,204.993,11
23812,990,832,4,55,10,11,11,11,0,56,\N,\N,35,18,1:35.535,203.937,11
23813,990,844,15,16,19,12,12,12,0,56,\N,\N,35,14,1:35.075,204.924,11
23814,990,154,210,8,16,13,13,13,0,56,\N,\N,44,10,1:34.689,205.759,11
23815,990,840,3,18,20,14,14,14,0,56,\N,\N,40,13,1:35.058,204.961,11
23816,990,845,3,35,18,15,15,15,0,56,\N,\N,47,3,1:34.053,207.151,11
23817,990,815,10,11,12,16,16,16,0,56,\N,\N,32,17,1:35.266,204.513,11
23818,990,843,5,28,11,17,17,17,0,56,\N,\N,42,8,1:34.563,206.034,11
23819,990,8,6,7,2,\N,R,18,0,35,\N,\N,22,6,1:34.337,206.527,36
23820,990,830,9,33,15,\N,R,19,0,3,\N,\N,\N,0,\N,\N,29
23821,990,817,9,3,4,\N,R,20,0,1,\N,\N,\N,0,\N,\N,10
23822,991,817,9,3,6,1,1,1,25,56,1:35:36.380,5736380,55,1,1:35.785,204.871,1
23823,991,822,131,77,3,2,2,2,18,56,+8.894,5745274,50,6,1:36.987,202.332,1
23824,991,8,6,7,2,3,3,3,15,56,+9.637,5746017,48,3,1:36.456,203.446,1
23825,991,1,131,44,4,4,4,4,12,56,+16.985,5753365,20,4,1:36.878,202.559,1
23826,991,830,9,33,5,5,5,5,10,56,+20.436,5756816,50,2,1:36.206,203.974,1
23827,991,807,4,27,7,6,6,6,8,56,+21.052,5757432,56,5,1:36.881,202.553,1
23828,991,4,1,14,13,7,7,7,6,56,+30.639,5767019,56,7,1:37.234,201.818,1
23829,991,20,6,5,1,8,8,8,4,56,+35.286,5771666,24,9,1:37.479,201.311,1
23830,991,832,4,55,9,9,9,9,2,56,+35.763,5772143,54,11,1:37.754,200.744,1
23831,991,825,210,20,11,10,10,10,1,56,+39.594,5775974,54,14,1:38.152,199.930,1
23832,991,839,10,31,12,11,11,11,0,56,+44.050,5780430,47,12,1:37.985,200.271,1
23833,991,815,10,11,8,12,12,12,0,56,+44.725,5781105,54,10,1:37.673,200.911,1
23834,991,838,1,2,14,13,13,13,0,56,+49.373,5785753,54,13,1:38.137,199.961,1
23835,991,840,3,18,18,14,14,14,0,56,+55.490,5791870,54,17,1:38.500,199.224,1
23836,991,845,3,35,16,15,15,15,0,56,+58.241,5794621,47,18,1:38.624,198.973,1
23837,991,828,15,9,20,16,16,16,0,56,+1:02.604,5798984,52,16,1:38.386,199.455,1
23838,991,154,210,8,10,17,17,17,0,56,+1:05.296,5801676,51,8,1:37.410,201.453,1
23839,991,842,5,10,17,18,18,18,0,56,+1:06.330,5802710,54,15,1:38.367,199.493,1
23840,991,844,15,16,19,19,19,19,0,56,+1:22.575,5818955,23,19,1:38.808,198.603,1
23841,991,843,5,28,15,20,20,20,0,51,\N,\N,50,20,1:39.376,197.468,130
23842,992,1,131,44,2,1,1,1,25,51,1:43:44.291,6224291,35,2,1:45.412,205.012,1
23843,992,8,6,7,6,2,2,2,18,51,+2.460,6226751,50,7,1:46.523,202.874,1
23844,992,815,10,11,8,3,3,3,15,51,+4.024,6228315,51,6,1:46.206,203.480,1
23845,992,20,6,5,1,4,4,4,12,51,+5.329,6229620,38,4,1:45.530,204.783,1
23846,992,832,4,55,9,5,5,5,10,51,+7.515,6231806,50,9,1:46.856,202.242,1
23847,992,844,15,16,13,6,6,6,8,51,+9.158,6233449,31,11,1:47.403,201.212,1
23848,992,4,1,14,12,7,7,7,6,51,+10.931,6235222,32,12,1:47.449,201.126,1
23849,992,840,3,18,10,8,8,8,4,51,+12.546,6236837,50,8,1:46.815,202.319,1
23850,992,838,1,2,16,9,9,9,2,51,+14.152,6238443,50,13,1:47.666,200.720,1
23851,992,843,5,28,19,10,10,10,1,51,+18.030,6242321,51,17,1:48.288,199.567,1
23852,992,828,15,9,18,11,11,11,0,51,+18.512,6242803,51,14,1:47.925,200.239,1
23853,992,842,5,10,17,12,12,12,0,51,+24.720,6249011,38,15,1:48.035,200.035,1
23854,992,825,210,20,15,13,13,13,0,51,+40.663,6264954,35,16,1:48.155,199.813,1
23855,992,822,131,77,3,\N,R,14,0,48,\N,\N,37,1,1:45.149,205.525,29
23856,992,154,210,8,20,\N,R,15,0,42,\N,\N,34,10,1:46.880,202.196,3
23857,992,830,9,33,5,\N,R,16,0,39,\N,\N,31,5,1:45.771,204.316,4
23858,992,817,9,3,4,\N,R,17,0,39,\N,\N,34,3,1:45.419,204.999,4
23859,992,807,4,27,14,\N,R,18,0,10,\N,\N,10,18,1:48.867,198.506,3
23860,992,839,10,31,7,\N,R,19,0,0,\N,\N,\N,0,\N,\N,4
